osm_tag,label
recycling:aerosol_cans,Aerosols
recycling:aluminium,Aluminium
recycling:batteries,Batteries
recycling:books,Books
recycling:cans,Cans
recycling:car_batteries,Car batteries
recycling:cardboard,Cardboard
recycling:cartons,Cartons
recycling:ceramics,Ceramics
recycling:clothes,Clothes
recycling:cooking_oil,Cooking oil
recycling:electrical_appliances,Electrical appliances
recycling:electrical_items,Electrical items
recycling:engine_oil,Engine oil
recycling:fluorescent_tubes,Fluorescent tubes
recycling:garden_waste,Garden waste
recycling:glass,Glass
recycling:glass_bottles,Glass bottles
recycling:hazardous_waste,Hazardous waste
recycling:magazines,Magazines
recycling:newspaper,Newspapers
recycling:paint,Paint
recycling:paper,Paper
recycling:paper_packaging,Paper packaging
recycling:plasterboard,Plasterboard
recycling:plastic_bottles,Plastic bottles
recycling:scrap_metal,Scrap metal
recycling:small_appliances,Small appliances
recycling:tyres,Tyres
recycling:white_goods,White goods
recycling:wood,Wood
recycling:green_waste,Green waste
recycling:plastic,Plastics
recycling:gas_bottles,Gas canisters
recycling:low_energy_bulbs,Low energy bulbs
recycling:rubble,Rubble
recycling:small_electrical_appliances,Small electrical appliances
recycling:waste,General waste
recycling:textiles,Textiles
recycling:polystyrene,Polystyrene
recycling:small_appliance,Small appliances
recycling:styrofoam,Styrofoam
recycling:wood_waste,Wood waste
recycling:polystyrene_foam,Polystyrene foam
recycling:earth,Earth
recycling:fridge_and_freezer,Fridges and freezers
recycling:furniture,Furniture
recycling:animal_waste,Animal waste
recycling:acids,
recycling:aerosols,
recycling:aggregate,
recycling:aluminium_cans,
recycling:asbestos,
recycling:beverage_can,
recycling:beverage_cartons,
recycling:bicycles,
recycling:bikes,
recycling:bottles,
recycling:bric_a_brac,
recycling:bulbs,
recycling:bulky_waste,
recycling:car_parts,
recycling:card,
recycling:cardbox,
recycling:carpet,
recycling:carpets,
recycling:cds,
recycling:chemicals,
recycling:chipboard,
recycling:christmas_trees,
recycling:commercial_fire_extinguishers,
recycling:computers,
recycling:cookers,
recycling:creosote,
recycling:diesel,
recycling:discs,
recycling:drink_cans,
recycling:drink_cartons,
recycling:dvds,
recycling:electronic,
recycling:electronic_items,
recycling:electronics,
recycling:fire_extinguishers,
recycling:flat_glass,
recycling:foil,
recycling:food,
recycling:food_cartons,
recycling:food_waste,
recycling:fridges_and_freezers,
recycling:garden_hardcore,
recycling:gas_canisters,
recycling:gas_cyclinders,
recycling:gas_cylinders,
recycling:general_waste,
recycling:glass_jars,
recycling:handbags,
recycling:hard_plastic,
recycling:hardcore,
recycling:herbicides,
recycling:household_and_garden_chemicals,
recycling:household_chemicals,
recycling:ink_cartridges,
recycling:japanese_knotweed,
recycling:jars,
recycling:large_appliances,
recycling:light_bulbs,
recycling:mattresses,
recycling:medicines,
recycling:metal,
recycling:mineral_oil,
recycling:mixed_glass,
recycling:mixed_textiles,
recycling:mobile_phones,
recycling:monitor,
recycling:newspapers,
recycling:oil,
recycling:ovens,
recycling:packaging,
recycling:paint_tins,
recycling:paper_bags,
recycling:paper_cups,
recycling:paper_packing,
recycling:paperboard_packaging,
recycling:pesticides,
recycling:pet,
recycling:petrol,
recycling:photographic_chemicals,
recycling:plaster,
recycling:plastic_bags,
recycling:plastic_containers,
recycling:plastic_packaging,
recycling:plastic_tubs,
recycling:plastics,
recycling:poisons,
recycling:polyester,
recycling:printer_cartridges,
recycling:propane,
recycling:residual_waste,
recycling:sheet_metal,
recycling:shoes,
recycling:soil,
recycling:steel_cans,
recycling:stone,
recycling:tetrapak,
recycling:tin_cans,
recycling:toner,
recycling:towels,
recycling:toys,
recycling:turf,
recycling:tv_monitor,
recycling:vegetable_oil,
recycling:waste_oil,
recycling:windows,
